"char","x_min","x_max","y_min","y_max","advance","u_min","u_max","v_min","v_max"
";","-0.1875","0.46875","-0.40625","0.78125","18","0.27165353","0.31299213","0.55278695","0.6773771"
":","-0.1875","0.46875","-0.25","0.78125","18","0.31299213","0.35433072","0.56918037","0.6773771"
"!","-0.1875","0.46875","-0.25","0.96875","18","0.35433072","0.39566934","0.56918037","0.6970492"
"?","-0.21875","0.78125","-0.25","0.96875","36","0.39566934","0.45866147","0.56918037","0.6970492"
".","-0.1875","0.46875","-0.25","0.34375","18","0.45866147","0.50000006","0.56918037","0.63147545"
"/","-0.25","0.53125","-0.25","0.96875","18","0.50000006","0.54921263","0.56918037","0.6970492"
"%","-0.21875","1.09375","-0.25","0.96875","56","0.54921263","0.6318898","0.56918037","0.6970492"
"$","-0.21875","0.78125","-0.34375","1","36","0.6318898","0.694882","0.5593443","0.7003279"
"*","-0.21875","0.625","0.15625","0.96875","24","0.694882","0.74803156","0.6118033","0.6970492"
"&","-0.21875","0.90625","-0.25","0.96875","42","0.74803156","0.81889766","0.56918037","0.6970492"
"\"","-0.21875","0.5625","0.21875","0.96875","22","0.81889766","0.8681102","0.6183607","0.6970492"
"'","-0.21875","0.40625","0.21875","0.96875","12","0.8681102","0.90748024","0.6183607","0.6970492"
"(","-0.21875","0.5625","-0.4375","0.96875","22","0.90748024","0.95669276","0.5495082","0.6970492"
"-","-0.21875","0.5625","-0.03125","0.5625","22","0.01968504","0.068897635","0.73278695","0.79508203"
"_","-0.28125","0.84375","-0.4375","0.15625","36","0.068897635","0.13976377","0.69016397","0.75245905"
")","-0.21875","0.5625","-0.4375","0.96875","22","0.13976377","0.18897636","0.69016397","0.83770496"
"=","-0.21875","0.78125","-0.03125","0.78125","38","0.18897636","0.2519685","0.73278695","0.81803286"
"+","-0.21875","0.78125","-0.125","0.84375","38","0.2519685","0.31496063","0.7229509","0.8245902"
"[","-0.1875","0.53125","-0.4375","0.96875","18","0.31496063","0.36023626","0.69016397","0.83770496"
"]","-0.25","0.46875","-0.4375","0.96875","18","0.36023626","0.40551183","0.69016397","0.83770496"
"{","-0.25","0.5625","-0.4375","0.96875","22","0.40551183","0.45669293","0.69016397","0.83770496"
"}","-0.25","0.5625","-0.4375","0.96875","22","0.45669293","0.5078741","0.69016397","0.83770496"
"#","-0.25","0.8125","-0.25","0.96875","36","0.5078741","0.5748032","0.7098361","0.83770496"
"~","-0.21875","0.8125","0","0.6875","38","0.5748032","0.63976383","0.7360656","0.8081968"
"^","-0.25","0.71875","0.09375","0.96875","30","0.63976383","0.7007875","0.7459017","0.83770496"
"\\","-0.25","0.53125","-0.25","0.96875","18","0.7007875","0.7500001","0.7098361","0.83770496"
"`","-0.21875","0.5","0.34375","0.96875","22","0.7500001","0.7952756","0.7721312","0.83770496"
"|","-0.1875","0.4375","-0.46875","0.96875","16","0.7952756","0.83464575","0.6868853","0.83770496"
"<","-0.21875","0.78125","-0.125","0.84375","38","0.83464575","0.89763784","0.7229509","0.8245902"
">","-0.21875","0.78125","-0.125","0.84375","38","0.89763784","0.96062994","0.7229509","0.8245902"
"é","-0.21875","0.78125","-0.25","0.96875","36","0.01968504","0.08267716","0.8504919","0.9783607"
"è","-0.21875","0.78125","-0.25","0.96875","36","0.08267716","0.1456693","0.8504919","0.9783607"
"à","-0.21875","0.78125","-0.25","0.96875","36","0.1456693","0.20866142","0.8504919","0.9783607"
"ù","-0.1875","0.75","-0.25","0.96875","36","0.20866142","0.26771653","0.8504919","0.9783607"
"â","-0.21875","0.78125","-0.25","0.96875","36","0.26771653","0.33070868","0.8504919","0.9783607"
"ê","-0.21875","0.78125","-0.25","0.96875","36","0.33070868","0.39370084","0.8504919","0.9783607"
"î","-0.28125","0.5625","-0.25","0.96875","18","0.39370084","0.44685042","0.8504919","0.9783607"
"ô","-0.21875","0.78125","-0.25","0.96875","36","0.44685042","0.5098426","0.8504919","0.9783607"
"û","-0.1875","0.75","-0.25","0.96875","36","0.5098426","0.5688977","0.8504919","0.9783607"
"ä","-0.21875","0.78125","-0.25","0.9375","36","0.5688977","0.6318898","0.8504919","0.97508204"
"ë","-0.21875","0.78125","-0.25","0.9375","36","0.6318898","0.694882","0.8504919","0.97508204"
"ï","-0.25","0.53125","-0.25","0.9375","18","0.694882","0.74409455","0.8504919","0.97508204"
"ö","-0.21875","0.78125","-0.25","0.9375","36","0.74409455","0.8070867","0.8504919","0.97508204"
"ü","-0.1875","0.75","-0.25","0.9375","36","0.8070867","0.8661418","0.8504919","0.97508204"
"ÿ","-0.25","0.75","-0.4375","0.9375","32","0.8661418","0.9291339","0.8308197","0.97508204"
